商品名,販売店・茶園,種類・産地,カフェイン,在庫,賞味期限,メモ,当選倍率
2025　QS　BOP(wonderlinks),ウバハイランズ,ウバ,あり,あり,2028/10/31,3g、160-180ml、3分,1
2023　FBOP,サマーセット茶園,ディンブラ,あり,あり,2026/4/30,4-5分,1
イノベーティブグレードマウントエリクサー,ラバーズリープ茶園,ヌワラエリヤ,あり,あり,2026/2/28,2.5g、2.5-3分,1
ローズタンドル,ウーフ,フレーバード,あり,あり,2027/4/30,,1
アールグレイ,ウーフ,アールグレイ,あり,あり,2027/5/31,,1
2025　2nd　FTGFOP1　DJ-75,グームティー茶園,ダージリン,あり,あり,2028/8/31,,1
2025　2nd　FTGFOP1　Heritage Musk　DJ-61,シーヨック茶園,ダージリン,あり,あり,2028/8/31,,1
石飛やまなみ紅茶,ウーフ,日本,あり,あり,2027/11/30,,1
2023　1st　FTGFOP1　Flowery　DJ-15,リシーハット茶園,ダージリン,あり,あり,2025/5/31,,1
BOP,ハブカル茶園,ニルギリ,あり,あり,2028/5/31,,1
2025QS　BOP(TEAPOND),ウバハイランズ,ウバ,あり,あり,2027/11/31,,1
ロースト四季春,Teapick,台湾,あり,あり,2026/11/1,,1
セロリティー,Teapick,ブレンド,あり,あり,2025/4/1,,1
サクラ,TEAPOND,フレーバード,あり,あり,2026/1/31,,1
SASABA,大淵笹場,日本,あり,あり,2025/2/28,,1
1st　OP,ジッダパハール茶園,ダージリン,あり,あり,,,1
2nd　OP,ジッダパハール茶園,ダージリン,あり,あり,,,1
BOP,MUSICA,ニルギリ,あり,あり,2025/12/31,,1
クリスマスブレンド,MUSICA,ブレンド,あり,あり,2026/12/31,,1
マタン・オ・ルーブル,FAUCHON,ブレンド,あり,あり,2023/12/31,,1
アールグレイクラシック,Fortnum＆Mason,アールグレイ,あり,あり,2026/2/28,,1
ホワイトアプリコット,カメリアズティーハウス,フレーバード,あり,あり,2026/9/30,,1
セーデルブレンド,北欧紅茶,フレーバード,あり,あり,2025/3/31,,1
フェイマスアールグレイ,キラーズオブバース,アールグレイ,あり,あり,2027/10/31,,1
ブルードゥフランス,マリアージュフレール,フレーバード,あり,あり,,80℃以下推奨,1
2025　2nd　FTGFOP1　DJ-70,サマビオン茶園,ダージリン,あり,あり,2028/9/30,,1
2022　BOP,ウバハイランズ,ウバ,あり,あり,2025/5/31,,1
2025　アバストフォードスペシャル,デスフォード茶園,ディンブラ,あり,あり,2028/5/31,,1
2025　BOPSP,ニュービターナカンダ茶園,サバラガムワ,あり,あり,2028/2/28,,1
2024　ヒマラヤン・ロイヤル・ハンドクラフテッド・ティップス(HRHT),ジュンチャバリ茶園,ネパール,あり,あり,2027/4/1,1g、100ml、4-6分,1
BOP1,エリン茶園,キャンディ,あり,あり,2027/11/30,,1
2023　BOP　QS,ウバハイランズ,ウバ,あり,あり,2026/10/31,,1
アールグレイオハラ,ウーフ,アールグレイ,あり,あり,2026/2/28,80℃,1
2025　1st　FTGFOP1　DJ-5,グームティー茶園,ダージリン,あり,あり,2028/5/31,,1
2023　1st　Mystic　EX-10,バラスン茶園,ダージリン,あり,あり,2025/5/31,,1
2024　BOP　,ニュービターナカンダ茶園,サバラガムワ,あり,あり,2027/5/1,,1
2024　PEKOE1　,マハガストッテ茶園,ヌワラエリヤ,あり,あり,2028/3/31,,1
文山包種,桜樺苑,台湾,あり,あり,2026/4/30,,1
PF1,Teapick,ケニア,あり,あり,2026/2/1,ティーバッグ,1
ダージリンブレンド,Teapick,ダージリン,あり,あり,2026/5/1,ティーバッグ,1
アッサム,MUSICA,アッサム,あり,あり,,,1
キームン,MUSICA,キームン,あり,あり,,,1
デラックスダージリン,MUSICA,ダージリン,あり,あり,,,1
陳年烏龍茶,KIKICHA,台湾,あり,あり,2025/6/13,,1
阿里山烏龍茶,KIKICHA,台湾,あり,あり,2026/5/1,,1
ミルクティー専用ブレンド甘美な余韻,Teapick,ブレンド,あり,あり,2027/8/1,,1
青心烏龍茶,Teapick,台湾,あり,あり,2026/11/1,,1
田中,Teapick,ブレンド,あり,あり,2026/10/1,,1
英国展ブレンド,AOBA,ブレンド,あり,あり,2026/8/31,,1
キームン,MUSICA,キームン,あり,あり,2026/12/31,,1
ディンブラ,MUSICA,ディンブラ,あり,あり,2026/12/31,,1
ルフナ,MUSICA,ルフナ,あり,あり,2026/12/31,,1
ウダプセラワ,MUSICA,ウダプセラワ,あり,あり,2026/12/31,,1
1st　,ジッダパハール茶園,ダージリン,あり,あり,2026/5/31,,1
キャンディ,MUSICA,キャンディ,あり,あり,2026/12/31,,1
